pressure;totalQueued;waitingTime;passedCars;noiseEmission;COEmission;CO2Emission;fuelConsumption;occupancy
7;7;0.74;3;197.00678292338944;1374.25078310473;30179.61309051051;12.97345085269372;0.13469827586206898
9;8;1.05;2;251.72190286854897;1392.5329029097252;27010.966277791027;11.611447310490313;0.14886626630944183
10;8;1.4;2;268.4545819112244;1560.354253231503;40891.03393931041;17.577776887547103;0.16163793103448276
10;8;1.78;2;249.9316548869488;1368.7604183998837;29916.206756484542;12.860225872918262;0.16163793103448276
12;10;2.22;2;255.2950527779855;1739.8149060601584;34550.843085178145;14.852636171373355;0.18857758620689657
8;4;1.07;4;267.1838650631275;1348.4100283065773;39206.27942443841;16.85345891386187;0.16163793103448276
4;2;0.43;5;183.30172325383074;487.29788531265126;12239.918988830817;5.2616205007853845;0.12122844827586207
5;4;0.33;3;186.40434748415487;562.900683347668;14875.727550993837;6.394626659284407;0.10775862068965518
5;4;0.45;3;190.02032971565072;932.7973058987819;17138.57160195746;7.367547123117593;0.10775862068965518
6;4;0.65;2;203.7295522265154;1119.1908397107377;31088.71968777153;13.364064713450063;0.10775862068965518
8;6;0.87;2;265.8567740613157;1091.7828344382388;27646.463088813656;11.884376472224563;0.13469827586206898
12;8;1.19;0;204.07883892699144;1393.8540197869734;34304.52798628644;14.746566601255818;0.1744088532341672
14;8;1.55;1;204.68908998459477;1628.289765827069;37564.04266878933;16.14778362051203;0.20204741379310348
16;10;1.96;1;269.8474216587324;1906.726650633941;43060.664342662196;18.510620404762697;0.2289870689655172
11;4;0.94;4;273.1661315503992;1319.6580310125787;41131.1715665446;17.680896285826968;0.20204741379310345
5;4;0.4;7;269.66055877556823;1024.987247939826;39025.73391636166;16.775669527408244;0.16163793103448276
4;6;0.51;5;134.9688197131651;1087.6642423372668;30417.738439862755;13.07558074277557;0.12122844827586207
6;7;0.83;4;130.09435478832893;935.261633970491;17178.886815500708;7.384877630048907;0.13469827586206898
13;10;1.23;0;261.30733057477687;1761.6853371862403;34922.32100764727;15.012320703121866;0.17510775862068967
14;10;1.71;0;261.55540600615507;1775.4676296460511;40214.56949067522;17.2872611137351;0.18857758620689657
12;10;2.21;2;211.58028299973773;2199.983741546039;51741.37546134858;22.242163882489884;0.19482734286254638
13;10;2.71;4;270.9362500303968;2185.0785890607617;45537.513399909294;19.575488626964923;0.22898706896551724
17;12;3.27;2;265.56871618651434;2096.27667511129;44558.30580496143;19.15455221354101;0.25592672413793105
15;6;2.04;3;264.8892442652761;1586.0895963260173;36597.34964493355;15.73224192262008;0.24245689655172414
10;3;0.92;6;283.5556711980771;1390.3940275743273;47725.78112993693;20.515550200256477;0.21551724137931036
7;6;0.49;7;264.7008802926248;1223.7147686523695;43444.55259696937;18.675246295387595;0.18857758620689655
5;7;0.63;6;254.31947676174747;1087.436987536642;25936.08122783181;11.14924193393089;0.14816810344827588
7;7;0.98;5;200.78356307186124;1606.027281218409;38347.28332835354;16.484444250567464;0.16163793103448276
10;7;1.33;2;265.285851776388;1524.3828269663527;35791.80092700096;15.385908200008913;0.16268889598876154
11;9;1.72;3;205.67475062188717;1738.1140109861653;41052.38441553095;17.64737206081883;0.19762048222338383
11;8;2.12;3;198.22755641926008;1681.947535904908;39644.42734732383;17.042042839013988;0.18857758620689655
12;11;2.64;2;199.44075493194686;1599.3265657630795;36304.898217660164;15.606488205036037;0.18857758620689655
9;3;1.46;3;199.22588975406487;1298.0284090789773;32509.30658363156;13.974810959634185;0.16163793103448276
3;3;0.72;7;199.2999787691444;963.7668596145268;26398.040504027456;11.347701509115534;0.13469827586206898
7;4;0.36;4;205.29868906763465;1087.9282335888133;35057.73479466675;15.070145970441768;0.14816810344827586
7;3;0.42;2;268.11078764462974;957.5541286844636;31192.10769953112;13.408383455866666;0.12122844827586207
3;5;0.62;6;252.98932276041646;966.2531220614507;23908.47223047548;10.277590295990105;0.12763257644755657
8;5;0.86;3;254.56627805576562;1292.6881738595825;39250.51461931654;16.872451437855073;0.16110092348080834
9;8;1.17;3;266.695299656354;1561.3605889396422;43348.6714902836;18.634169192369324;0.16163793103448276
8;7;1.52;4;273.18537643393506;1487.8768558250163;41387.958012139825;17.791403594401494;0.16163793103448276
10;8;1.88;3;232.4258269027156;1513.9293276944527;35743.85060624441;15.365292408142206;0.17510775862068967
9;5;1.16;3;257.4520406328489;1132.8919333929134;28137.09264615948;12.095338835412687;0.16163793103448276
9;4;0.63;5;270.0454632094029;1098.1677207504977;35358.93727434239;15.199618748701754;0.18857758620689657
8;4;0.41;4;264.79299418226833;975.8666067637582;32806.846809366005;14.102582512125256;0.16163793103448276
6;5;0.52;5;260.22226697219236;865.2542056778303;21688.41483084928;9.323222574441221;0.14816810344827586
4;7;0.81;5;251.0704296454292;943.9102960336227;23618.765792597565;10.153058223206164;0.12122844827586207
7;7;1.13;2;196.00436053905094;1246.6774499152784;25817.687923196674;11.098415132020037;0.12122844827586207
10;8;1.48;0;201.97501042475312;1571.1705239258986;35825.14367317555;15.400260146903324;0.13469827586206898
12;8;1.83;1;262.0198052526874;1690.2765993578882;35779.02383037226;15.380537260028092;0.17510775862068967
14;9;2.23;1;275.21519331321866;1876.006743625774;48524.51676827501;20.859189730822102;0.20204741379310345
10;1;0.93;2;269.8815715987373;946.9732859610431;30262.85955540378;13.008947756770777;0.1616379310344828
2;3;0.11;8;255.38707447145555;920.7811223981444;32461.382391476378;13.953948921685972;0.13469827586206898
1;3;0.18;7;273.7342671081333;903.4694535495692;31456.37125252903;13.521951784282786;0.111266703202932
2;3;0.33;6;191.6225459879933;524.0311810087669;16131.845316750492;6.93454295447563;0.10775862068965518
5;6;0.51;4;254.3413764272519;926.0790319205325;21031.921146879788;9.041060557785379;0.12122844827586207
8;5;0.76;2;262.82594179397523;1047.8866120141518;27617.057996240455;11.87177714974568;0.13469827586206895
9;7;1.03;2;260.1427294544933;1332.8053827656631;30432.79005277344;13.082260150103243;0.14816810344827586
12;10;1.36;2;265.66901972782887;1696.6439747888767;40557.25895914086;17.434417396705843;0.18857758620689657
12;9;1.76;2;268.41462793047003;1804.4557079632582;44326.90040545291;19.05485883363248;0.18857758620689657
9;2;0.6;3;270.2289525976542;1087.1481818282273;34290.58947687593;14.740339931170375;0.16750871134688555
3;4;0.24;6;198.14811430627375;531.7797269195796;19625.02064943897;8.436049143322778;0.12122844827586207
6;7;0.4;5;198.26526468849312;1156.603950616163;26553.429374707408;11.414630730114439;0.14816810344827588
11;7;0.73;1;206.70130529562527;1475.7079993377183;38310.56418629414;16.46855362177896;0.16163793103448276
13;8;1.11;1;202.9355805757186;1650.1251839416957;37938.356158045135;16.308688659813193;0.18857758620689657
16;11;1.62;1;204.58757643784298;1814.4678605791335;38989.62276770556;16.76068606163326;0.22898706896551727
17;14;2.26;0;195.43193803309367;1927.6699370119218;34227.505105400436;14.713784506964712;0.23669330703366026
19;16;3.02;1;265.8853977620021;2699.092664366103;51679.72183466598;22.216027597598135;0.26939655172413796
22;17;3.83;1;206.2026864498827;3061.6213761735353;55219.04616990945;23.737627119262363;0.3098060344827587
19;13;2.93;3;271.9409518672113;2310.430737616713;50651.51854687362;21.773853041484415;0.29662546802837253
14;5;1.99;6;281.42368189271957;2046.130093505549;57751.99800867633;24.8257568114134;0.2693965517241379
11;3;1.25;6;274.70115150395395;1250.1446080558412;47480.24216329539;20.40995201573405;0.22898706896551727
6;5;0.8;7;262.3474011095321;1144.8512276297286;37486.66453928808;16.114217935026005;0.17698345934711687
4;7;0.81;7;250.24892867753334;1223.852941014335;26352.06151384089;11.32809965270556;0.14816810344827586
3;6;1.01;6;253.39493356354922;1208.512637487171;25651.199742064127;11.026836442526896;0.12122844827586207
7;8;1.33;3;254.34542850039065;1396.01421618211;29198.760124265566;12.551851697436005;0.14276477638333981
9;7;1.68;2;206.36551539054534;1655.3471205486012;40782.69944022308;17.531303212316377;0.14816810344827586
14;7;2.03;0;207.43438197819142;1712.1617315535418;42957.53595608219;18.46615648100296;0.18857758620689657
9;3;0.82;2;207.99830601039355;975.5808395410533;32770.05521194931;14.086652525474985;0.14816810344827586
3;1;0.15;6;248.98941046837848;713.8371246318293;19745.397868650754;8.487975185224172;0.12122844827586207
1;3;0.22;7;267.4695043973673;666.5452428132501;27276.89222953957;11.725238447461932;0.10775862068965518
6;4;0.37;3;260.9748077424669;794.2562767285474;22277.81209495144;9.576543818343028;0.12122844827586207
10;7;0.63;1;252.1976335979578;1158.397570751429;26006.87240757997;11.179699256662552;0.14816810344827588
9;6;0.93;2;203.4529014922365;1231.688944786747;32683.76995455954;14.049723924054671;0.14816810344827586
12;8;1.3;0;197.61216265801954;1342.707758013666;29766.35818372738;12.795805984396122;0.16163793103448276
10;10;1.75;2;249.45920496216738;1620.5379612975955;29229.765686754967;12.565322347533263;0.16163793103448276
11;10;2.24;2;262.0859869471776;1742.5575048583833;39206.16547653932;16.853738879789788;0.17510775862068964
10;1;1.19;2;272.7355862504701;1299.9886377650978;34227.13292144493;14.71320087209157;0.16309051376983147
2;4;0.35;7;267.9197691570204;549.1369922352638;23692.752588550895;10.184532131749812;0.13069649580569548
1;5;0.3;6;192.2213584190669;749.0803542963554;16872.949623458513;7.253243385708238;0.09673715838890923
7;6;0.55;3;262.83820623219555;1529.5188818457464;36951.486788183334;15.884389502573809;0.14296295854826138
11;5;0.8;1;269.652048081281;1447.044507693548;42681.79287701394;18.34747081987815;0.16163793103448276
12;8;1.15;0;256.2400198735786;1150.7257379493076;30609.955967232127;13.158285282180247;0.16163793103448276
7;9;1.57;3;187.47687673664046;1318.2222222222224;20997.777777777777;9.026654687032044;0.13469827586206898
9;10;2.02;2;245.78041141738709;1745.1977820784118;31130.499934078027;13.382439837435165;0.14816810344827586
13;9;2.47;1;263.63600834565136;2024.0993025616185;43951.80964586383;18.893770709113305;0.18857758620689657
10;2;1.18;2;261.33200368439174;1050.338508727718;31695.333255599166;13.6247795981486;0.16163793103448276
4;2;0.51;6;197.52974161642675;1089.391120989208;31371.322845796876;13.485522307954165;0.13659711575182135
5;2;0.24;4;196.15189725473692;685.6446075613286;24016.745871626314;10.32390682429085;0.12198593816989836
6;5;0.38;3;247.83780527328136;835.9105557675339;20518.831439071288;8.820477326485898;0.12821224287413474
8;5;0.58;3;269.3275141493466;1487.15315061038;38770.82276159006;16.666393088365936;0.14816810344827586
8;6;0.81;4;280.35501866590465;1497.4385802668437;49929.219167944946;21.462782520223094;0.16163793103448276
9;7;1.07;4;268.8732722092042;1474.1749913918547;37266.836289801766;16.019916840685358;0.17510775862068964
11;7;1.41;3;210.22602685662645;1456.1622393132043;41255.81065407179;17.73452978950904;0.18857758620689655
15;10;1.82;1;207.19232742377767;1573.2107225284399;38186.978840469295;16.415471042754582;0.21551724137931036
10;3;0.9;3;209.485396627497;1448.7573704730244;39669.94601619178;17.05285580862678;0.17510775862068967
3;2;0.43;7;267.6690460146764;929.2959352707257;34491.72186480402;14.826672925957991;0.13469827586206898
0;5;0.37;8;200.13895148411927;807.0712834661715;24112.509991141553;10.365174115743873;0.10775862068965518
6;6;0.52;4;252.3296339116734;1175.5158148509126;27568.1550030219;11.850805437587095;0.13469827586206898
12;7;0.81;1;278.5052669230889;1542.4599308947586;46559.17057354287;20.014217153861967;0.18219609728293232
10;6;1.11;3;278.6480365583912;1641.0712301390847;50897.38298828388;21.878992554944627;0.17510775862068967
13;8;1.5;1;265.5229130148474;1435.7910478592723;33084.67026113489;14.22224102023659;0.18859972787421514
9;9;1.93;4;272.69183248888015;1706.636608164251;46286.79556253562;19.89726307124222;0.17510775862068967
12;10;2.39;2;254.3403183609292;1722.664950989355;31380.539016212715;13.489906399408575;0.18857758620689657
9;3;1.38;3;264.69872005567083;1279.621943273186;31055.907833833066;13.350074921220102;0.16458755500737793
3;3;0.63;6;252.16170844167175;508.28863901190323;17446.38858276193;7.499576731154435;0.12122844827586207
0;4;0.36;7;245.7994057942639;636.0319866769084;14667.76007739418;6.305264039317033;0.09428879310344829
3;4;0.56;4;196.09118658165485;941.5066215675005;20102.43023547259;8.64153463660154;0.09428879310344829
6;4;0.76;2;264.56918068199855;1055.324343675438;31523.75515089574;13.551034844950163;0.10775862068965518
9;5;0.96;1;263.5088720700312;1187.781535768158;31431.196183898668;13.511357874478854;0.13469827586206898
8;6;1.21;2;199.71473805162992;1183.6330436861458;32710.994149568636;14.061408722777799;0.13469827586206898
9;6;1.49;2;258.7662933921862;1183.7005172981287;29221.585736427594;12.561519457266877;0.14816810344827586
10;8;1.84;2;249.98988590541128;1303.4057199813637;22199.62438034993;9.54324952933359;0.16163793103448276
8;3;0.41;3;272.36731725841304;987.8610047093255;28435.17057853705;12.22335017624329;0.14816810344827586
6;4;0.27;5;275.2453548752381;1053.5117655111587;35588.32479823334;15.298145785640877;0.14816810344827588
6;6;0.38;5;260.8333376703975;1037.7561650862249;23621.11793307685;10.154101424475463;0.150147993509605
9;7;0.71;3;271.9107348157463;1377.0025744514803;40231.29039313896;17.294119957830336;0.16163793103448276
10;8;1.08;2;262.35420655810583;1437.0547702353947;31263.942128274604;13.43956367788909;0.16163793103448276
9;9;1.53;2;204.5859946777631;1446.9542656955095;35168.49996430974;15.11790340332174;0.14816810344827586
9;9;1.98;3;135.41282754000116;1751.8057711199344;32477.74598390514;13.961541128404818;0.16163793103448276
14;11;2.47;0;134.5990513453699;1774.3053208527797;33000.70390658257;14.186339628417622;0.18857758620689657
17;14;3.05;0;203.37429477889307;2196.638968734187;42463.66165746855;18.25423050532767;0.22898706896551724
12;4;1.85;2;200.63139574982767;1359.0516460972262;30439.2193200068;13.0850864713875;0.18857758620689657
6;2;0.66;6;189.06837503901818;1171.5039472813326;38629.659360398495;16.60553086528256;0.16163793103448276
5;1;0.17;6;264.85145710944414;664.6173989152558;28413.11099343442;12.213683237745418;0.14816810344827586
6;1;0.11;4;259.78682590287553;647.2592084483924;22396.617943448848;9.627492645164605;0.13469827586206898
2;3;0.18;6;250.11993930227092;478.4314582677232;8903.1585802462;3.8272901378372612;0.10775862068965518
0;3;0.29;6;262.97190140212945;715.8434271304093;23547.745964747508;10.122324434566803;0.08081896551724138
4;4;0.44;3;188.7740809789505;882.1483639372414;22754.703400345876;9.78156529997336;0.09428879310344829
5;4;0.64;1;188.6691358947733;647.048607139083;16076.463960773275;6.910785810117389;0.08081896551724138
4;4;0.84;2;185.24890413777007;788.6950159133166;15656.522367262893;6.730390214782608;0.08081896551724138
4;1;0.02;2;205.42388703942797;759.6902799175793;25270.09389664284;10.86273002042387;0.08081896551724138
3;1;0.0;5;270.55648069942345;844.9379679592262;40162.46529796982;17.26415677212768;0.10775862068965518
6;3;0.06;2;198.8978568960036;439.6111553665503;17240.757819708473;7.411106576036504;0.10915490309435616
5;3;0.2;3;132.95343617750297;525.3795194704053;15410.322276092993;6.6244028561123205;0.10775862068965518
10;8;0.48;0;192.59385283717313;967.0977980443213;18017.201554599647;7.745231239620966;0.13469827586206895
13;8;0.86;0;265.9819771619135;1509.4797647686935;35229.0626876752;15.144012796981547;0.17510775862068964
15;9;1.26;0;268.0186113032811;1868.5990813396404;42903.46922474993;18.443035309470414;0.20204741379310348
14;13;1.74;2;201.63310941426045;1766.6830992363261;37733.27440223261;16.220640513315626;0.21551724137931033
15;12;2.34;2;259.05562039878816;1733.3865833545256;34175.058984389354;14.691164512265424;0.22898706896551724
11;5;1.63;3;271.242855455133;1560.470403058453;41505.21674337274;17.8418880626752;0.190593473871329
6;3;0.98;6;269.7523206497308;1237.3609166616616;36172.65882192319;15.549440759015626;0.16163793103448276
4;4;0.58;6;203.03051599061752;539.304411583892;19850.145697610988;8.532820537994851;0.13469827586206898
6;5;0.53;3;257.8868260148422;905.5754141428334;19142.637045433028;8.228963574773491;0.12122844827586207
9;8;0.77;2;200.27061304070787;1407.7830424630192;32808.46531642247;14.103449439651861;0.14816810344827586
9;7;1.12;2;208.09997085723194;1379.739681287469;38722.45444505199;16.64556452922462;0.14816810344827586
11;9;1.49;2;255.69751559552992;1587.61072740578;30589.35613836989;13.149714816584739;0.17510775862068964
12;9;1.94;2;267.2537665504694;1608.9245720887966;39884.22679462445;17.14508496792947;0.18857758620689655
16;11;2.44;1;252.79078728116153;1942.515229839282;36587.23583680535;15.728095649010006;0.22898706896551724
14;4;1.32;2;278.7442351434425;1472.6335374774837;44780.2017898453;19.249511086066928;0.21551724137931036
7;4;0.46;7;277.1717954167581;1560.6603560066521;53148.064193130434;22.84638646319401;0.18857758620689657
4;6;0.47;8;271.9987696774063;1094.4768154287563;30463.2313606975;13.095136953849368;0.16163793103448276
6;8;0.81;5;262.78360861245505;1459.3433716253962;33701.16533419209;14.487189205538263;0.14816810344827586
9;8;1.16;4;277.063251095058;1858.1279787601575;46733.86915952142;20.089489699302376;0.17510775862068967
13;10;1.56;2;263.1072312424224;1734.1207243083027;35361.20851461623;15.200961791496129;0.20204741379310345
12;10;2.03;2;207.31195671832543;1867.4111173350989;41610.53487567455;17.887279140939228;0.19833825119946796
16;13;2.58;1;193.10749445373534;2080.2897779251907;37718.88407435442;16.21463472253885;0.22898706896551724
18;15;3.23;1;265.71797424029853;2331.9342836770743;45563.06242686278;19.586586735982827;0.25592672413793105
15;5;2.08;2;275.6207363169885;1840.9827403322765;47323.867447419936;20.34314223985241;0.22898706896551724
6;3;0.92;8;252.65453209429867;1207.4136352088628;35668.05070064532;15.332584621008987;0.18857758620689657
5;4;0.47;6;260.22733619053014;1005.6158418351322;36626.192396404505;15.744241386942278;0.14816810344827586
3;4;0.42;8;271.0162421834279;1245.254813428208;35375.94841741186;15.206933583459715;0.14816810344827586
4;3;0.48;5;269.91627329788975;980.7313552096899;33614.42764956571;14.449659514833343;0.13382382849316396
7;6;0.69;4;268.17593186180954;905.2965715100545;26361.2620830187;11.331874957898505;0.14816810344827588
6;6;0.99;3;141.62985797170063;1026.2562723525368;31371.835708729268;13.485666552385027;0.12122844827586207
10;8;1.32;1;137.11971680204454;1261.954754433209;26770.00076666538;11.507761797740692;0.14816810344827586
14;10;1.74;0;260.5111620073534;1760.6168242910023;32932.800359966524;14.157145632960138;0.18857758620689655
10;3;0.71;2;278.0671188425599;1438.1348065892223;46570.368168374654;20.0189860708422;0.16163793103448276
3;1;0.14;6;275.4831360336626;779.7308712935683;35431.22623749706;15.230397101789578;0.12991614633779694
2;3;0.14;6;202.82957048169646;595.1123860873217;23887.79390270884;10.268385139823415;0.10775862068965518
5;4;0.3;3;190.7684940739482;620.7844355133648;13203.706778927952;5.675949490899161;0.10775862068965518
6;6;0.56;2;190.78143908908189;641.898707605113;12999.775194432765;5.588299886969887;0.10775862068965518
10;7;0.9;0;263.2635925515849;1387.0624140255006;38042.16881789203;16.3530974916482;0.13469827586206898
10;8;1.25;1;263.05560888827546;1356.4551358165868;33332.19370937244;14.32860895851144;0.14816810344827586
8;8;1.6;3;189.65758261072534;1570.7585758429695;29434.267494837135;12.65320531994493;0.14816810344827586
12;8;1.99;1;277.6840896339584;1739.0316980990394;45601.29526259172;19.602560764516593;0.17510775862068967
10;2;0.84;2;253.82292210596563;1398.961537841767;38957.06545975493;16.746467975849363;0.16163793103448276
4;2;0.09;6;255.0458422468007;586.7901278554687;23669.86610356853;10.174761985707427;0.13469827586206898
3;2;0.15;5;247.47105768180376;516.9525168949871;19917.604659076766;8.561808676625624;0.10775862068965518
4;3;0.26;4;259.6830189268017;737.0603506337101;24096.900821842195;10.358436057123123;0.10775862068965518
6;4;0.43;3;251.85497326338395;898.0841442067815;23050.15599912791;9.908624960351988;0.1318944137515158
6;5;0.66;3;259.4141735228583;1040.8049320866198;31614.581266461373;13.590013266529432;0.12122844827586207
6;5;0.91;2;251.40215408310635;1118.0397909023377;21250.18397844646;9.135011473365847;0.10775862068965518
