queue_average_reward;passed_cars_reward;pressure_reward;waiting_time_reward;noiseEmission_reward;COEmission_reward;CO2Emission_reward;fuel_reward;occupancy_reward;reward
-1;-3;-4;-0.15;74.19782042;-166.3049368;793.0425644;0.340759135;-0.013469828;-13.65924087
0;-2;-5;-0.2;0.104945084;235.0997568;6678.23944;2.87077949;0.013469828;-3.12922051
0;1;-4;-0.2;3.420231757;-141.6464088;419.9415935;0.180395595;0;3.180395595
3;0;-4;0.82;-20.1749829;29.004736;-9613.571529;-4.132339806;0;10.86766019
0;3;-3;0.02;-65.13259366;-85.24768804;-14892.3714;-6.401426752;-0.026939655;2.598573248
-2;-3;-6;-0.06;71.6586238;405.3268126;22921.70748;9.853050196;-0.001396282;-9.146949804
0;1;-5;-0.14;65.94442072;-85.7683641;1830.435544;0.78670372;0.001396282;3.78670372
-5;-3;-10;-0.28;-59.64041666;-441.7182786;-2606.879279;-1.120828384;-0.026939655;-35.12082838
0;0;-13;-0.38;-73.38812432;-542.3819667;-17211.86113;-7.398781557;-0.040409483;-7.398781557
-1;0;-15;-0.4;-2.036634141;-359.1193166;-7674.406537;-3.299022512;-0.026939655;-8.299022512
-4;2;-14;-0.48;66.38550189;101.9159821;5170.194823;2.222394796;-0.013469828;-11.7776052
1;0;-15;-0.6;-57.42251098;33.29651588;3558.215418;1.529476001;-0.013469828;6.529476001
7;1;-11;0.71;-12.18723506;172.9161803;-7330.157759;-3.15072355;0.038393595;34.84927645
2;3;-6;0.65;1.490534805;323.1094864;5332.557921;2.292447304;0.028955543;21.2924473
-1;0;-4;0.4;66.72180466;698.0565051;16322.51312;7.016620221;0.026939655;2.016620221
-1;-3;-6;0.05;-54.85631002;-366.2710026;707.5086522;0.303856963;0.013469828;-13.69614304
-3;-1;-9;-0.24;57.61621297;-502.2076283;-13665.82827;-5.874485865;-0.026939655;-23.87448586
1;0;-9;-0.35;-7.829357817;28.04336118;-5913.989129;-2.54211509;0;2.45788491
-2;0;-11;-0.37;-47.59754474;-207.8710461;8133.098307;3.495849713;-0.026939655;-6.504150287
0;0;-12;-0.45;-11.55625095;-21.31384468;-9294.870656;-3.995370151;-0.013469828;-3.995370151
-2;-1;-16;-0.5;14.46297927;-333.5906578;3296.990958;1.416989319;-0.040409483;-11.58301068
7;1;-14;1.12;-25.95344786;469.8816924;-8192.965953;-3.521415437;0.013469828;34.47858456
0;5;-7;0.86;1.572439727;-88.02681853;-8367.862403;-3.596875377;0.026939655;11.40312462
-2;1;-4;-0.01;5.173025739;466.1835406;22684.83283;9.751249509;0.026939655;2.751249509
-2;-3;-6;-0.34;9.215161065;-364.8665562;-3237.933973;-1.392052252;0.013469828;-20.39205225
0;-1;-9;-0.35;-14.27964248;-398.7846071;-13032.70383;-5.602300494;-0.026939655;-8.602300494
-2;-2;-13;-0.4;13.95601985;124.0072545;11372.66064;4.888527908;-0.026939655;-11.11147209
0;0;-12;-0.47;55.79527452;-133.290393;-6249.326361;-2.686317349;0.003709163;-2.686317349
-3;-1;-16;-0.55;14.20446226;-212.8786606;3891.650801;1.672644418;-0.030648818;-16.32735558
-2;0;-18;-0.65;-72.61047979;-251.6445058;-7844.178353;-3.371952013;-0.026939655;-13.37195201
10;1;-15;1.15;-9.902762077;490.9515433;-1760.805021;-0.756555504;0.026939655;52.2434445
2;6;-6;1.16;22.96620422;633.5691051;11655.81675;5.010557619;0.040409483;33.01055762
-1;-2;-5;0.45;-7.572804096;201.7977934;-958.1416958;-0.411656766;0.040409483;-11.41165677
0;2;-3;0.05;-10.78890599;-239.6389716;1250.243979;0.537307803;0;6.537307803
1;-3;-4;-0.06;1.099968886;264.5234582;1761.520768;0.757274069;0.014344275;-3.242725931
-3;-1;-7;-0.21;1.740341436;75.4347837;7253.165567;3.117784557;-0.014344275;-14.88221544
0;-1;-6;-0.3;126.5460739;-120.9597008;-5010.573626;-2.153791594;0.026939655;-5.153791594
-2;-2;-10;-0.33;4.51014117;-235.6984821;4601.834942;1.977904755;-0.026939655;-14.02209525
-2;-1;-14;-0.42;-123.3914452;-498.6620699;-6162.799593;-2.649383835;-0.040409483;-15.64938384
7;2;-10;1.03;-17.55595684;322.4820177;-13637.56781;-5.861840438;0.026939655;35.13815956
2;4;-3;0.57;2.583982809;658.4039353;11139.14193;4.788588969;0.031721785;26.78858897
-2;0;-2;0;72.65356555;184.6184852;11543.43233;4.962011962;0.022157526;-5.037988038
-1;-3;-5;-0.16;12.06107641;-25.67204943;10684.08712;4.592435649;0;-9.407564351
-2;-1;-6;-0.26;-0.012945015;-21.11427209;203.9315845;0.087649604;0;-12.9123504
-1;-2;-10;-0.34;-72.48215346;-745.1637064;-25042.39362;-10.7647976;-0.026939655;-21.7647976
-1;1;-10;-0.35;0.207983663;30.60727821;4709.975109;2.024488533;-0.013469828;0.024488533
0;2;-8;-0.35;73.39802628;-214.30344;3897.926215;1.675403639;0;7.675403639
0;-2;-12;-0.39;-88.02650702;-168.2731223;-16167.02777;-6.949355445;-0.026939655;-12.94935544
6;1;-10;1.15;23.86116753;340.0701603;6644.229803;2.856092789;0.013469828;35.85609279
0;4;-4;0.75;-1.222920141;812.17141;15287.19936;6.57170599;0.026939655;18.57170599
0;-1;-3;-0.06;7.574784565;69.83761096;3752.261444;1.612953309;0.026939655;-1.387046691
