step_time,reward,total_stopped,total_wait_time,fuel_consumption,noise_emission
5.0,-4.0,0,0.0,-0.3176421244878297,-1.5447063722346868
10.0,-4.0,1,0.0,-0.12650929659131716,-0.7058123481577212
15.0,-1.6666666666666667,0,0.0,-0.22002965284834364,-0.6867041713663047
20.0,-0.3333333333333333,1,0.0,-0.12573086588616966,-0.456869345951218
25.0,-1.6666666666666667,0,0.0,-0.0656738080023343,-0.6419459163181133
30.0,-2.3333333333333335,0,0.0,-0.19133030080030752,-0.208951851423892
35.0,-0.3333333333333333,2,5.0,-0.19922119488854823,-0.24470392728049184
40.0,0.6666666666666666,1,1.0,-0.32561991555185493,-1.0822144038187256
45.0,4.333333333333333,1,2.0,-0.36731207289293843,-1.3235886123743494
50.0,4.333333333333333,0,0.0,-0.09320948326277312,-0.37341011464995877
55.0,-1.3333333333333333,0,0.0,-0.12582042508692068,-0.17183370160705685
60.0,-0.16666666666666666,1,1.0,-0.22625536220032025,-0.46847321702018885
65.0,1.3333333333333333,1,2.0,-0.13838856673234465,-0.3923214574694695
70.0,3.6666666666666665,1,1.0,-0.09610121982041114,-0.36447895749735254
75.0,3.3333333333333335,0,0.0,-0.15344725432481024,-0.4389112304322359
80.0,1.5,2,1.0,-0.17698106417733703,-0.1388069863770296
85.0,-1.3333333333333333,0,0.0,-0.19411151517005987,-0.4276532822476091
90.0,0.6666666666666666,1,4.0,-0.2119240124987932,-0.37482070686190977
95.0,-0.16666666666666666,0,0.0,-0.2130478785967023,-0.43197197361372885
100.0,-4.666666666666667,0,0.0,-0.008863808401926604,0.21170640892934545
105.0,-0.3333333333333333,0,0.0,-0.20713900077330072,0.13166359869541044
110.0,2.5,0,0.0,-0.20748138478278294,-0.24389690852673998
115.0,2.8333333333333335,2,6.0,-0.22872314774405336,0.10571174158968039
120.0,-1.3333333333333333,1,5.0,-0.14510063243284657,-0.13215553026232568
125.0,3.6666666666666665,1,2.0,-0.24968289903612056,-0.21777963450500815
130.0,5.0,2,1.0,-0.28829896633818647,-0.17642377872061513
135.0,-1.3333333333333333,3,7.0,0.01305516611784439,0.7349720641928241
140.0,-2.8333333333333335,2,6.0,0.046334322765316606,0.9428264032944605
145.0,-0.16666666666666666,2,3.0,0.0660150990448304,1.3222070917559896
150.0,4.0,1,2.0,0.29058748351380276,1.3823765190034658
155.0,2.3333333333333335,3,10.0,-0.08204871859665844,0.7139837178990117
160.0,2.5,0,0.0,0.11873623419173003,0.492677567194858
165.0,8.166666666666666,0,0.0,-0.21491547314609505,0.6753510124604525
170.0,6.833333333333333,2,1.0,-0.10417778878519617,0.9923785686565053
175.0,-4.0,3,11.0,0.09589969538271148,1.0369218645695044
180.0,-1.3333333333333333,0,0.0,-0.03822344799175623,0.7119604205183477
185.0,4.333333333333333,3,2.0,-0.18340896902109674,0.29178299979972677
190.0,5.5,2,6.0,-0.12512924562866543,0.38217085957850283
195.0,0.8333333333333334,2,7.0,-0.0031193073123357146,0.9330346695947671
200.0,-1.1666666666666667,2,9.0,-0.1473302758989699,1.1184796232399812
205.0,-0.16666666666666666,2,9.0,-0.06878231502379346,0.6474692617531694
210.0,-1.3333333333333333,0,0.0,-0.16985592164589136,-0.20756879668511696
215.0,2.6666666666666665,2,4.0,0.0380853821862421,0.767999469158125
220.0,0.6666666666666666,3,8.0,-0.018745543862227113,0.9907992413053051
225.0,-0.6666666666666666,0,0.0,-0.1351351983129153,0.41575874293824766
230.0,2.3333333333333335,1,4.0,-0.12206658330561804,-0.1601350629368829
235.0,2.6666666666666665,3,5.0,0.06362336903992777,0.7505228905586607
240.0,1.1666666666666667,1,1.0,0.042134701156832155,0.19493137869521704
245.0,2.1666666666666665,1,1.0,-0.07866439214311605,0.6435439758635342
250.0,0.6666666666666666,2,2.0,-0.15840371362767583,1.1411776953807333
255.0,1.3333333333333333,2,1.0,-0.10225141583483474,0.6327408810794597
260.0,1.8333333333333333,3,15.0,-0.24586029594349534,0.39038841762425036
265.0,2.8333333333333335,0,0.0,-0.09881537351102787,0.15622682309892477
270.0,2.6666666666666665,2,3.0,-0.23743761967970778,0.0950624304990669
275.0,0.0,3,12.0,-0.11357854813689255,0.08931863783110161
280.0,-2.0,3,12.0,-0.033257341980657544,0.419637688670808
285.0,2.5,2,16.0,-0.22439795930982112,-0.16574207536322783
290.0,0.0,0,0.0,-0.05523757958158171,1.1953868614031526
295.0,-0.8333333333333334,2,5.0,-0.14732783456730336,0.6948507807418068
300.0,0.0,1,2.0,-0.04372955750747691,0.34040539816588783
305.0,3.1666666666666665,0,0.0,-0.06116072768058707,-0.07055359852639106
310.0,0.3333333333333333,0,0.0,-0.11086570453893499,1.0184937710775435
315.0,-2.0,2,2.0,0.08728435500248863,0.6853315441627953
320.0,0.5,4,14.0,-0.1331230829328442,0.6955226137860594
325.0,0.5,1,5.0,-0.19003325830054135,0.3873716918572411
330.0,2.1666666666666665,1,2.0,0.06892388658535951,0.19423601616317626
335.0,1.6666666666666667,1,2.0,0.08496768968960752,1.0901864234540914
340.0,0.3333333333333333,0,0.0,0.10018911220920171,0.8092391281609916
345.0,4.0,3,10.0,-0.2646113310065954,0.25238780745861467
350.0,1.0,0,0.0,0.05411184499051865,0.7856103939204601
355.0,2.8333333333333335,1,2.0,-0.24840327629073314,0.4313831003110639
360.0,4.333333333333333,2,5.0,-0.28930964199300474,-0.1651172165783552
365.0,-3.5,3,13.0,0.029763630935508247,0.9689695375750944
370.0,-3.6666666666666665,4,20.0,0.20389584297367688,1.2891193650868709
375.0,4.333333333333333,2,24.0,8.982340104565778e-05,0.5751414719268653
380.0,1.5,4,11.0,-0.15932697119145534,0.6367718544531933
385.0,1.3333333333333333,2,16.0,0.10964713448203714,0.2167175265051476
390.0,6.5,1,13.0,-0.23653198248396004,0.23087812924299322
395.0,2.6666666666666665,5,29.0,-0.1628243193248327,0.6817895110693002
400.0,-3.8333333333333335,3,25.0,0.012234704335773054,0.6411960926595993
405.0,-3.3333333333333335,7,20.0,-0.17463449020787866,0.5095472651486506
410.0,0.16666666666666666,5,32.0,0.10360374713684013,0.44331659906022053
415.0,-1.3333333333333333,4,35.0,0.19047330934293213,0.7228437044822007
420.0,-1.8333333333333333,3,6.0,0.004181765404569087,0.6675813665121229
425.0,3.5,3,14.0,-0.006794699128477656,0.6952503403456572
430.0,2.1666666666666665,2,8.0,-0.10525408860299496,0.19584654970957457
435.0,2.0,3,13.0,-0.11324243886734861,0.1592944829458992
440.0,-1.1666666666666667,0,0.0,0.0058341764244840486,0.35638025173650806
445.0,2.6666666666666665,1,5.0,-0.034799865244911056,1.2276890045383573
450.0,0.6666666666666666,2,6.0,-0.021544815108945913,1.376393768287595
455.0,-1.8333333333333333,5,23.0,-0.18817133584256798,0.3553758547121276
460.0,0.16666666666666666,5,13.0,-0.07678765251214721,0.2774194382299132
465.0,4.666666666666667,2,7.0,-0.17265044712993263,-0.45559342917311263
470.0,4.833333333333333,2,13.0,0.030263931404880325,0.4390604828493732
475.0,-0.8333333333333334,2,2.0,-0.059308998270227245,0.8151391576989229
480.0,1.1666666666666667,2,9.0,-0.07285343297623469,0.3948815030858419
485.0,4.0,3,11.0,-0.18705806143679504,-0.0008302802378874485
490.0,3.3333333333333335,2,11.0,-0.07383993763053132,0.16525592497819916
495.0,0.16666666666666666,1,2.0,-0.17310378757315475,0.47879668590145663
500.0,-1.1666666666666667,2,11.0,0.059681973516978404,1.0114291358446843
505.0,0.3333333333333333,0,0.0,0.049726375695449875,1.2924615198113438
510.0,7.0,4,5.0,-0.24770443333497139,1.3543840665099436
515.0,1.5,4,13.0,0.0680369927836294,2.5600055296510282
520.0,-4.333333333333333,4,24.0,0.2639211841797861,2.0734802866444
525.0,2.0,6,42.0,-0.21498702540364367,2.0351164049980053
530.0,1.8333333333333333,7,51.0,-0.022955806659400876,1.437205065310956
535.0,-2.3333333333333335,6,54.0,0.077836544645595,1.435728307082669
540.0,-0.5,5,9.0,0.07607422705154847,1.8613793168090922
545.0,4.0,2,9.0,-0.012891371802518295,1.1865776792640563
550.0,6.5,1,0.0,0.05558029767465169,1.1214830385829464
555.0,5.666666666666667,1,3.0,-0.10216344409841638,0.9848506563300409
560.0,2.3333333333333335,2,6.0,-0.08525260761589029,0.9306014236209147
565.0,-4.833333333333333,2,6.0,0.2777091144428842,0.8747692217714106
570.0,-0.5,6,16.0,0.03755359976874137,1.2254794742918915
575.0,0.0,6,25.0,0.08084997364908031,0.8876682967634799
580.0,1.5,5,28.0,0.08585306870440296,0.6796925847354476
585.0,0.5,5,25.0,-0.03149307678604958,0.6165422210421756
590.0,-1.3333333333333333,4,26.0,0.16745853364388222,0.993200757369559
595.0,-2.6666666666666665,2,30.0,0.11500264135082103,0.9294097132441695
600.0,4.0,4,33.0,-0.06943986934505197,0.9153089342188667
605.0,1.8333333333333333,3,37.0,0.23972853501483304,1.0416941886571103
610.0,0.16666666666666666,3,37.0,0.04162451110554851,0.7045780035731628
615.0,2.5,3,12.0,-0.1974922630667425,0.5766199354000947
620.0,1.3333333333333333,2,15.0,0.0160173644567548,0.3416178177912068
625.0,-2.3333333333333335,2,20.0,-0.1618127740660287,1.1595772431789
630.0,-3.6666666666666665,3,31.0,-0.01935500545834013,1.2311838781567421
635.0,-5.0,5,49.0,0.035698140758504616,1.1719760026158916
640.0,-6.5,6,56.0,0.32245284904956417,1.8448612124112402
645.0,-1.5,4,65.0,0.2014992095713472,1.8044782207274324
650.0,-2.3333333333333335,4,62.0,0.04331183605719828,0.4196816753604596
655.0,0.3333333333333333,1,8.0,-0.06165142530752105,0.6693846929478643
660.0,5.666666666666667,3,7.0,-0.04154411512778815,0.42775549527392714
665.0,3.0,1,2.0,-0.002682674365180559,0.4422592889865871
670.0,4.833333333333333,1,2.0,-0.0983379729692862,0.4419623152105344
675.0,5.0,2,10.0,-0.054469385743624026,0.4043138818696229
680.0,0.0,1,8.0,0.16447476749100418,1.465913029203266
685.0,-1.1666666666666667,2,8.0,0.09157213486801216,1.2950100696526965
690.0,2.3333333333333335,2,4.0,-0.05262503271849932,0.9290323592086491
695.0,2.0,4,19.0,-0.05392583250204644,0.18617885331210215
700.0,0.5,0,0.0,-0.049303782210302655,0.9339883272212196
705.0,1.0,1,5.0,0.041646804197667496,0.22255365105345315
710.0,1.5,2,5.0,-0.004427774296578105,0.10944674154951395
715.0,1.6666666666666667,5,16.0,0.05732788769277438,0.4545591436458869
720.0,-2.5,3,15.0,-0.06759851435335379,0.8506054268253657
725.0,-0.6666666666666666,2,8.0,-0.0024847692200198578,0.45531523965275317
730.0,4.666666666666667,1,2.0,-0.07717611151924783,0.09204028426557602
735.0,4.333333333333333,3,10.0,-0.03615176985857047,0.1735454706525124
740.0,-1.8333333333333333,0,0.0,-0.0012474083829235108,0.260942673488846
745.0,2.1666666666666665,2,9.0,-0.21981646369118557,0.010881086901419302
750.0,-0.5,3,7.0,-0.22771665132421556,0.3017293787384427
755.0,-1.8333333333333333,3,11.0,-0.12537115215795522,0.166956721672528
760.0,0.6666666666666666,1,3.0,-0.1350427324689605,-0.18181441508158097
765.0,1.8333333333333333,2,10.0,-0.05980867646572005,0.961034206754973
770.0,-4.166666666666667,1,7.0,0.0035834683353234698,0.7372206814189717
775.0,-0.5,3,4.0,-0.24300978676123605,-0.2791698372999699
780.0,3.3333333333333335,4,12.0,-0.07431498919081254,-0.4433956287418656
785.0,-1.5,1,11.0,0.20451024163582326,0.7541394542131984
790.0,-3.0,2,3.0,-0.1995342267033139,0.06004931977718887
795.0,0.3333333333333333,3,11.0,-0.18879922273904182,-0.1584526800332354
800.0,2.3333333333333335,1,1.0,-0.1019306530033579,-0.09496416456867338
805.0,5.666666666666667,0,0.0,-0.20785033067497782,-0.13803329307916654
810.0,2.0,1,2.0,0.09322208155391071,0.7733849539617703
815.0,-3.8333333333333335,3,8.0,0.11054292310094117,0.44061992640218783
820.0,0.0,3,18.0,-0.09411125477623539,0.38222738681752255
825.0,0.3333333333333333,4,18.0,-0.04550745403679983,0.3177507176337991
830.0,-1.1666666666666667,4,26.0,0.21371206803837245,0.7557202092445721
835.0,-1.5,1,8.0,-0.07935468151392258,0.9474663660818448
840.0,2.0,1,2.0,-0.060037617582795626,0.15889569576188112
845.0,3.6666666666666665,1,7.0,-0.13727847021976547,0.16182981126345009
850.0,-2.1666666666666665,3,16.0,-0.1221689234884882,1.0168576398540217
855.0,-4.0,2,5.0,-0.02174463751140246,1.1500033982698092
860.0,0.8333333333333334,3,13.0,-0.1781619327206421,0.06277750330525719
865.0,1.5,4,24.0,-0.159427810644796,0.7283016461127979
870.0,-2.0,1,3.0,-0.06504858779252064,0.6468780423523417
875.0,3.1666666666666665,3,7.0,-0.16803008320679913,0.09161068411499211
880.0,4.333333333333333,3,12.0,-0.23082611161289784,-0.44904535649539734
885.0,-1.1666666666666667,2,10.0,-0.14996545924044585,-0.13929130328989137
890.0,-2.0,0,0.0,-0.08783580028787605,0.1642165284881182
895.0,1.0,1,0.0,-0.09812380942830139,1.248515091358467
900.0,-0.8333333333333334,0,0.0,0.03926847775393199,0.7617875058748756
905.0,-1.6666666666666667,1,1.0,0.08939041003416669,0.9629253132753915
910.0,-0.6666666666666666,2,5.0,-0.2879553982334948,0.643122364425611
