step_time,reward,total_stopped,total_wait_time,fuel_consumption,noise_emission,waitingreward
5.0,0.0,1,0.0,0.07975519426159379,0.2808844685083718,-1
10.0,-4.0,0,0.0,0.258144588646817,0.6186391947955455,-1
15.0,-10.0,2,1.0,0.23346257931319225,0.9007382263541488,-1
20.0,-3.0,3,8.0,0.2508163336033218,0.8731626751754741,-4
25.0,5.0,4,23.0,0.20513894085226225,0.5636467661216221,-4
30.0,11.0,4,43.0,0.31108080905195384,0.6137303328350623,-4
35.0,-7.0,2,1.0,0.27846005889769965,0.8870263154099616,4
40.0,-3.0,2,2.0,0.3404133958520428,0.9098556910252263,-1
45.0,5.0,3,8.0,0.36704768540325505,0.8962252973491965,-4
50.0,5.0,2,6.0,0.12053990365033275,0.8261459190371679,2
55.0,-4.0,5,27.0,0.2092837496089318,0.5787531270948134,-4
60.0,6.0,4,30.0,0.06380650321809854,0.5333869142081503,1
65.0,-3.0,2,4.0,0.2221310953099962,0.60747846054565,-3
70.0,-3.0,3,6.0,0.3413670431782978,0.9009616317230401,-4
75.0,-4.0,3,21.0,0.22061579776321272,0.882400317271202,-4
80.0,-5.0,4,40.0,0.39535175866854316,0.9172098914746409,-4
85.0,-3.0,7,66.0,0.3094634037953202,0.7875673987001397,-3
90.0,-3.0,3,7.0,0.3227823830314501,0.8707146456704805,4
95.0,-5.0,2,17.0,0.2524095462964395,0.8634399024355464,-4
100.0,8.0,2,1.0,0.3002934722932569,0.8943890422471289,4
105.0,-5.0,3,11.0,0.09804046339832644,0.8152775410687098,-4
110.0,1.0,3,26.0,0.2977206198647624,0.8864167185799895,-3
115.0,-13.0,5,46.0,0.38259869747084757,0.8854490826189182,-2
120.0,0.0,5,66.0,0.3035589299608233,0.5813334210469916,-1
125.0,0.0,2,1.0,0.12839490513779953,0.5422546562099076,4
130.0,-2.0,1,6.0,0.2623671711297723,0.624908125579575,-4
135.0,-3.0,1,1.0,0.2614094554635227,0.8273921518096379,4
140.0,-7.0,3,9.0,0.10480928045495022,0.8285919735864088,-4
145.0,-3.0,4,24.0,0.18790461890405208,0.5523126270028419,-1
150.0,-11.0,5,40.0,0.371222752406804,0.6150032066133624,-1
155.0,-11.0,1,0.0,0.41609251222633387,0.9329771712048042,4
160.0,-7.0,2,1.0,0.28812778032750364,0.5834374651833462,-1
165.0,2.0,5,14.0,0.18965327748598054,0.5637540526147379,-4
170.0,2.0,4,12.0,0.22052308118281444,0.5538092833248475,1
175.0,2.0,5,31.0,0.3692361118647724,0.8817588388241259,-4
180.0,-3.0,3,21.0,0.17069698925165241,0.7917192176984074,3
185.0,5.0,3,7.0,0.14258088629615573,0.800848949137648,-4
190.0,0.0,3,20.0,0.26587751712126917,0.8697744707281895,-4
195.0,0.0,3,6.0,0.3072734829024497,0.8511020182544267,4
200.0,-10.0,5,15.0,0.069016995810415,0.8001969879658122,-4
205.0,8.0,3,8.0,0.28689801832645134,0.8090073622509806,-3
210.0,8.0,3,7.0,0.18801731770766975,0.8927795235382244,1
215.0,1.0,5,25.0,0.11245859657792992,0.8268180174856777,-4
220.0,1.0,3,7.0,0.31595027688387234,0.9120363849825446,4
225.0,-8.0,2,3.0,0.21127274304113575,0.8590472960307275,4
230.0,-1.0,4,14.0,0.3320737854424102,0.8748997552522498,-4
235.0,-1.0,4,31.0,0.292129604277122,0.8905670560632094,-3
240.0,-1.0,3,3.0,0.16130133213262016,0.5761466125190589,4
245.0,0.0,4,8.0,0.22476051925231538,0.60374024244929,-3
250.0,-6.0,3,11.0,0.29633862867526795,0.9042618440931393,-2
255.0,-6.0,3,5.0,0.17980050474060222,0.8625715288975845,4
260.0,5.0,5,24.0,0.13140118433165915,0.5289531431181269,-4
265.0,5.0,3,8.0,0.12170065590070643,0.8093683595858763,4
270.0,-11.0,2,18.0,0.06786518278891146,0.5033173488936558,-4
275.0,13.0,2,28.0,0.0854265052398171,0.5419361579320339,-4
280.0,-6.0,4,40.0,0.3091046522586621,0.6231393811445334,-4
285.0,-8.0,0,0.0,0.4242411939466529,0.9296736737362122,4
290.0,-2.0,1,1.0,0.18680992765394905,0.8633787442218988,-1
295.0,-2.0,4,9.0,0.04467270666244825,0.5096965619942343,-4
300.0,5.0,5,19.0,0.14185169123446026,0.5866208994390373,-4
305.0,-4.0,1,0.0,0.36478003303431594,0.5732365079926969,-1
310.0,7.0,1,2.0,0.2586453705298726,0.586544097048486,-4
315.0,-3.0,2,7.0,0.1986856999903686,0.6074599835269202,-2
320.0,-3.0,3,6.0,0.4593468809165585,0.9106695872205173,1
325.0,-16.0,5,20.0,0.25200608948462416,0.8799480757552077,-4
330.0,-16.0,3,3.0,0.3097401693777856,0.8529652724198001,4
335.0,7.0,4,14.0,0.267344674485623,0.8739867899812893,-4
340.0,5.0,3,7.0,0.15640929192795183,0.8356356531909004,4
345.0,-3.0,3,13.0,0.32061175234986145,0.6300066346529325,-4
