step_time,reward,total_stopped,total_wait_time,fuel_consumption,noise_emission
5.0,-4.0,0,0.0,-0.24487471526195895,-1.233163402200161
10.0,-2.0,0,0.0,-0.24487471526195895,-1.233163402200161
15.0,0.0,0,0.0,-0.24487471526195895,-1.233163402200161
20.0,-1.0,0,0.0,-0.05559798078590803,-0.31649190262915294
25.0,-3.75,0,0.0,0.11683173808883505,0.2905345205934908
30.0,-3.25,2,2.0,-0.1329490952432281,0.1274985530788237
35.0,-1.0,2,12.0,-0.022787208699644033,0.20793992886972823
40.0,0.75,0,0.0,-0.04690849180509919,-0.3520769133637017
45.0,4.5,0,0.0,-0.19288526882759693,-0.6653569662005131
50.0,1.5,1,0.0,-0.04755082617350643,0.7309160986068022
55.0,-4.0,0,0.0,0.1654198953592182,0.5510421449913324
60.0,-1.5,0,0.0,-0.24487471526195895,-0.1916964447632911
65.0,0.75,1,4.0,-0.12172196612709738,0.07767833489658844
70.0,-1.75,1,4.0,0.06598011625447137,-0.03230572740328492
75.0,3.25,1,2.0,-0.15450113060332532,-0.43992150979315664
80.0,7.75,0,0.0,-0.18536299911453863,-0.3641470920521023
85.0,2.25,0,0.0,-0.08066163991749384,-0.04625779253317547
90.0,-1.25,0,0.0,-0.18251826604105303,-0.4574315611166069
95.0,-2.5,2,7.0,-0.18939660729113972,-0.39370472884579166
100.0,-1.75,1,0.0,-0.08377076859524757,-0.1543702280045084
105.0,-1.0,1,5.0,-0.06007563281461632,-0.09257185989985439
110.0,-2.0,1,0.0,-0.08452481686164219,-0.10592835941175123
115.0,-3.75,1,0.0,0.1766116150819248,0.8171464840617264
120.0,-4.5,2,0.0,0.27786075628913354,1.1124942751771876
125.0,-2.25,1,1.0,0.08258425568141459,1.2583806629917702
130.0,3.75,2,10.0,-0.08061683045789396,1.22969768280794
135.0,4.5,2,3.0,-0.016268647851640013,0.43095391026838403
140.0,-2.25,3,10.0,0.07378140932604747,1.019862221349259
145.0,-1.75,2,14.0,0.07313247722067413,1.0341064739478205
150.0,1.0,4,13.0,-0.010691140165168084,0.665163640061932
